gender,part_time_job,absence_days,extracurricular_activities,weekly_self_study_hours,math_score,history_score,physics_score,chemistry_score,biology_score,english_score,geography_score,career_aspiration_Accountant,career_aspiration_Artist,career_aspiration_Banker,career_aspiration_Business Owner,career_aspiration_Construction Engineer,career_aspiration_Designer,career_aspiration_Doctor,career_aspiration_Game Developer,career_aspiration_Government Officer,career_aspiration_Lawyer,career_aspiration_Real Estate Developer,career_aspiration_Scientist,career_aspiration_Software Engineer,career_aspiration_Stock Investor,career_aspiration_Teacher,career_aspiration_Unknown,career_aspiration_Writer,average_score,science_avg,humanities_avg,engagement_score,performance_consistency
0,0,3,0,27,73,81,93,97,63,80,87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,81.5,82.66666666666667,25.5,88.32381340790867
1,0,2,0,47,90,86,96,100,90,88,90,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.42857142857144,94.0,88.0,46.0,95.14005682964836
1,0,9,1,13,81,97,95,96,65,77,94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.42857142857143,84.25,89.33333333333333,13.5,87.67310335273388
1,0,5,0,3,71,74,88,80,89,63,86,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.71428571428571,82.0,74.33333333333333,0.5,90.20690233354318
0,0,5,0,10,84,77,65,65,80,74,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,74.42857142857143,73.5,75.66666666666667,7.5,92.8153602999839
1,0,2,0,26,93,100,67,78,72,80,84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,82.0,77.5,88.0,25.0,88.49637738217507
0,0,3,1,23,99,96,97,73,88,76,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,84.71428571428571,89.25,78.66666666666667,26.5,86.2436162005382
0,1,2,1,34,95,95,82,63,84,70,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,82.0,81.0,83.33333333333333,38.0,88.05568475522072
0,0,6,0,25,94,68,94,85,81,74,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,81.14285714285714,88.5,71.33333333333333,22.0,89.56881963488676
1,0,3,1,18,98,69,88,71,67,71,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,76.71428571428571,81.0,71.0,21.5,88.35648555755486
1,0,2,0,7,65,60,97,94,71,81,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,76.28571428571429,81.75,69.0,6.0,85.32900496768896
0,0,1,0,7,80,61,100,65,87,64,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,74.0,83.0,62.0,6.5,84.72474768348053
1,1,7,0,4,94,59,69,67,89,65,73,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.71428571428571,79.75,65.66666666666667,0.5,87.05506166212335
1,0,10,0,2,66,94,86,100,57,90,63,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.42857142857143,77.25,82.33333333333333,-3.0,82.95244745956043
1,0,3,0,39,96,90,86,92,92,95,87,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.14285714285714,91.5,90.66666666666669,37.5,96.23930097683194
0,0,6,0,0,94,50,78,64,79,74,84,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.71428571428571,78.75,69.33333333333333,-3.0,85.77895590197065
1,0,3,1,30,92,64,93,91,80,89,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,83.0,89.0,75.0,33.5,88.65686698188429
0,0,2,1,28,86,83,85,79,93,76,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,82.71428571428571,85.75,78.66666666666667,32.0,94.03582121567197
0,0,1,0,37,92,87,92,99,97,87,86,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.42857142857144,95.0,86.66666666666667,36.5,94.87304044430675
1,0,2,0,27,99,65,98,75,66,72,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,82.14285714285714,84.5,79.0,26.0,83.86072521839378
0,1,3,0,15,100,90,72,98,73,97,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,86.0,85.75,86.33333333333333,13.5,86.84705356203409
0,0,8,0,4,57,55,78,94,83,88,88,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.57142857142857,78.0,77.0,0.0,84.45589990964264
1,0,9,0,2,89,72,68,72,71,54,90,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.71428571428571,75.0,72.0,-2.5,87.5271723906955
0,0,9,0,1,50,76,81,55,56,80,79,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.14285714285714,60.5,78.33333333333333,-3.5,86.2470782325043
1,0,4,0,35,87,91,90,88,95,88,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,90.28571428571428,90.0,90.66666666666669,33.0,97.0722997811544
1,0,5,0,22,92,86,87,81,93,90,99,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.71428571428571,88.25,91.66666666666669,19.5,94.23475106885269
0,0,3,0,34,100,77,80,94,63,90,90,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.85714285714286,84.25,85.66666666666667,32.5,87.55775246149138
0,0,0,0,23,64,75,93,79,81,96,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,81.85714285714286,79.25,85.33333333333333,23.0,89.13064596478442
0,0,1,1,17,79,65,99,71,76,77,83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.57142857142857,81.25,75.0,21.5,89.29397143572615
1,0,3,0,19,82,100,61,97,30,74,73,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.85714285714286,67.5,82.33333333333333,17.5,76.28341950288385
1,0,0,0,14,88,69,87,100,88,85,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,84.14285714285714,90.75,75.33333333333333,14.0,89.45756872714566
1,0,4,0,30,70,68,92,74,82,85,72,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.57142857142857,79.5,75.0,28.0,91.09574740443004
0,0,4,0,30,77,96,98,89,85,62,62,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.28571428571429,87.25,73.33333333333333,28.0,85.10353189830684
1,0,1,0,24,99,84,84,78,78,77,68,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.14285714285714,84.75,76.33333333333333,23.5,90.47059688073152
1,0,3,1,31,90,93,91,80,86,69,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,81.57142857142857,86.75,74.66666666666667,34.5,88.07164243134395
1,0,1,0,21,65,70,78,98,80,66,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,74.57142857142857,80.25,67.0,20.5,87.97423401113062
0,0,2,1,19,99,94,87,71,89,91,96,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.57142857142857,86.5,93.66666666666669,23.0,90.8374468103928
0,0,1,0,29,92,100,85,89,81,91,88,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.42857142857143,86.75,93.0,28.5,94.03183046327874
0,0,4,0,21,77,64,64,88,94,82,78,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.14285714285714,80.75,74.66666666666667,19.0,88.70946456202407
