absence_days,weekly_self_study_hours,math_score,history_score,physics_score,chemistry_score,biology_score,english_score,geography_score,career_aspiration_Business Owner,career_aspiration_Doctor,science_avg,humanities_avg,engagement_score,performance_consistency,average_score,performance_category
3,27,73,81,93,97,63,80,87,0.0,0.0,81.5,82.66666666666667,25.5,88.32381340790867,82.0,High
2,47,90,86,96,100,90,88,90,0.0,1.0,94.0,88.0,46.0,95.14005682964836,91.42857142857144,Excellent
9,13,81,97,95,96,65,77,94,0.0,0.0,84.25,89.33333333333333,13.5,87.67310335273388,86.42857142857143,High
5,3,71,74,88,80,89,63,86,0.0,0.0,82.0,74.33333333333333,0.5,90.20690233354318,78.71428571428571,High
5,10,84,77,65,65,80,74,76,0.0,0.0,73.5,75.66666666666667,7.5,92.8153602999839,74.42857142857143,Average
2,26,93,100,67,78,72,80,84,0.0,0.0,77.5,88.0,25.0,88.49637738217507,82.0,High
3,23,99,96,97,73,88,76,64,0.0,0.0,89.25,78.66666666666667,26.5,86.2436162005382,84.71428571428571,High
2,34,95,95,82,63,84,70,85,0.0,0.0,81.0,83.33333333333333,38.0,88.05568475522072,82.0,High
6,25,94,68,94,85,81,74,72,0.0,0.0,88.5,71.33333333333333,22.0,89.56881963488676,81.14285714285714,High
3,18,98,69,88,71,67,71,73,0.0,0.0,81.0,71.0,21.5,88.35648555755486,76.71428571428571,High
2,7,65,60,97,94,71,81,66,0.0,0.0,81.75,69.0,6.0,85.32900496768896,76.28571428571429,High
1,7,80,61,100,65,87,64,61,0.0,0.0,83.0,62.0,6.5,84.72474768348053,74.0,Average
7,4,94,59,69,67,89,65,73,1.0,0.0,79.75,65.66666666666667,0.5,87.05506166212335,73.71428571428571,Average
10,2,66,94,86,100,57,90,63,1.0,0.0,77.25,82.33333333333333,-3.0,82.95244745956043,79.42857142857143,High
3,39,96,90,86,92,92,95,87,0.0,1.0,91.5,90.66666666666669,37.5,96.23930097683194,91.14285714285714,Excellent
6,0,94,50,78,64,79,74,84,1.0,0.0,78.75,69.33333333333333,-3.0,85.77895590197066,74.71428571428571,Average
3,30,92,64,93,91,80,89,72,0.0,0.0,89.0,75.0,33.5,88.65686698188429,83.0,High
2,28,86,83,85,79,93,76,77,0.0,0.0,85.75,78.66666666666667,32.0,94.03582121567196,82.71428571428571,High
1,37,92,87,92,99,97,87,86,0.0,1.0,95.0,86.66666666666667,36.5,94.87304044430677,91.42857142857144,Excellent
2,27,99,65,98,75,66,72,100,0.0,0.0,84.5,79.0,26.0,83.86072521839378,82.14285714285714,High
3,15,100,90,72,98,73,97,72,0.0,0.0,85.75,86.33333333333333,13.5,86.84705356203409,86.0,High
8,4,57,55,78,94,83,88,88,1.0,0.0,78.0,77.0,0.0,84.45589990964264,77.57142857142857,High
9,2,89,72,68,72,71,54,90,1.0,0.0,75.0,72.0,-2.5,87.5271723906955,73.71428571428571,Average
9,1,50,76,81,55,56,80,79,1.0,0.0,60.5,78.33333333333333,-3.5,86.2470782325043,68.14285714285714,Average
4,35,87,91,90,88,95,88,93,0.0,0.0,90.0,90.66666666666669,33.0,97.0722997811544,90.28571428571428,Excellent
5,22,92,86,87,81,93,90,99,0.0,1.0,88.25,91.66666666666669,19.5,94.23475106885267,89.71428571428571,High
